Year,Host,Stage,Stadium,City,Attendance,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,Home Team Initials,Away Team Initials
1998,France,Group G,La Mosson,Montpellier ,29800,Colombia,1,0,Tunisia, ,0,0,COL,TUN
1998,France,Group F,La Mosson,Montpellier ,29800,Germany,2,0,Iran, ,0,0,GER,IRN
1998,France,Round of 16,La Mosson,Montpellier ,29800,Germany,2,1,Mexico, ,0,0,GER,MEX
1998,France,Group F,Stade Geoffroy Guichard,Saint-Etienne ,30600,Yugoslavia,1,0,Iran, ,0,0,YUG,IRN
1998,France,Group B,Stade Geoffroy Guichard,Saint-Etienne ,30600,Chile,1,1,Austria, ,0,0,CHI,AUT
1998,France,Group D,Stade Geoffroy Guichard,Saint-Etienne ,30600,Spain,0,0,Paraguay, ,0,0,ESP,PAR
1998,France,Group A,Stade Geoffroy Guichard,Saint-Etienne ,30600,Scotland,0,3,Morocco, ,0,1,SCO,MAR
1998,France,Group E,Stade Geoffroy Guichard,Saint-Etienne ,30600,Netherlands,2,2,Mexico, ,2,0,NED,MEX
1998,France,Round of 16,Stade Geoffroy Guichard,Saint-Etienne ,30600,Argentina,2,2,England,HWP,0,0,ARG,ENG
1998,France,Group B,Stade du Parc Lescure,Bordeaux ,31800,Italy,2,2,Chile, ,1,1,ITA,CHI
1998,France,Group A,Stade du Parc Lescure,Bordeaux ,31800,Scotland,1,1,Norway, ,0,0,SCO,NOR
1998,France,Group E,Stade du Parc Lescure,Bordeaux ,31800,Belgium,2,2,Mexico, ,1,0,BEL,MEX
1998,France,Group C,Stade du Parc Lescure,Bordeaux ,31800,South Africa,2,2,Saudi Arabia, ,1,1,RSA,KSA
1998,France,Group H,Stade du Parc Lescure,Bordeaux ,31800,Argentina,1,0,Croatia, ,1,0,ARG,CRO
1998,France,Round of 16,Stade Felix Bollaert,Lens ,31800,France,1,0,Paraguay,ET,0,0,FRA,PAR
1998,France,Round of 16,Stade du Parc Lescure,Bordeaux ,31800,Romania,0,1,Croatia, ,0,1,ROU,CRO
1998,France,Group B,Stade Municipal,Toulouse ,33500,Cameroon,1,1,Austria, ,0,0,CMR,AUT
1998,France,Group H,Stade Municipal,Toulouse ,33500,Argentina,1,0,Japan, ,1,0,ARG,JPN
1998,France,Group C,Stade Municipal,Toulouse ,33500,South Africa,1,1,Denmark, ,0,1,RSA,DEN
1998,France,Group G,Stade Municipal,Toulouse ,33500,Romania,2,1,England, ,0,0,ROU,ENG
1998,France,Group D,Stade Municipal,Toulouse ,33500,Nigeria,1,3,Paraguay, ,1,1,NGA,PAR
1998,France,Round of 16,Stade Municipal,Toulouse ,33500,Netherlands,2,1,Yugoslavia, ,1,0,NED,YUG
1998,France,Group D,La Beaujoire,Nantes ,35500,Spain,2,3,Nigeria, ,1,1,ESP,NGA
1998,France,Group A,La Beaujoire,Nantes ,35500,Brazil,3,0,Morocco, ,2,0,BRA,MAR
1998,France,Group H,La Beaujoire,Nantes ,35500,Japan,0,1,Croatia, ,0,0,JPN,CRO
1998,France,Group B,La Beaujoire,Nantes ,35500,Chile,1,1,Cameroon, ,1,0,CHI,CMR
1998,France,Group F,La Beaujoire,Nantes ,35500,USA,0,1,Yugoslavia, ,0,1,USA,YUG
1998,France,Quarter-finals,La Beaujoire,Nantes ,35500,Brazil,3,2,Denmark, ,2,1,BRA,DEN
1998,France,Group C,Stade Felix Bollaert,Lens ,38100,Saudi Arabia,0,1,Denmark, ,0,0,KSA,DEN
1998,France,Group H,Stade Felix Bollaert,Lens ,38100,Jamaica,1,3,Croatia, ,1,1,JAM,CRO
1998,France,Group F,Stade Felix Bollaert,Lens ,38100,Germany,2,2,Yugoslavia, ,0,1,GER,YUG
1998,France,Group D,Stade Felix Bollaert,Lens ,38100,Spain,6,1,Bulgaria, ,2,0,ESP,BUL
1998,France,Group G,Stade Felix Bollaert,Lens ,38100,Colombia,0,2,England, ,0,2,COL,ENG
1998,France,Group E,Stade de Gerland,Lyon ,39100,Korea Republic,1,3,Mexico, ,1,0,KOR,MEX
1998,France,Group G,Stade de Gerland,Lyon ,39100,Romania,1,0,Colombia, ,1,0,ROU,COL
1998,France,Group F,Stade de Gerland,Lyon ,39100,USA,1,2,Iran, ,0,1,USA,IRN
1998,France,Group C,Stade de Gerland,Lyon ,39100,France,2,1,Denmark, ,1,1,FRA,DEN
1998,France,Group H,Stade de Gerland,Lyon ,39100,Japan,1,2,Jamaica, ,0,1,JPN,JAM
1998,France,Quarter-finals,Stade de Gerland,Lyon ,39100,Germany,0,3,Croatia, ,0,1,GER,CRO
1998,France,Group F,Parc des Princes,Paris ,45500,Germany,2,0,USA, ,1,0,GER,USA
1998,France,Group D,Parc des Princes,Paris ,45500,Nigeria,1,0,Bulgaria, ,1,0,NGA,BUL
1998,France,Group H,Parc des Princes,Paris ,45500,Argentina,5,0,Jamaica, ,1,0,ARG,JAM
1998,France,Group E,Parc des Princes,Paris ,45500,Belgium,1,1,Korea Republic, ,1,0,BEL,KOR
1998,France,Round of 16,Parc des Princes,Paris ,45500,Brazil,4,1,Chile, ,3,0,BRA,CHI
1998,France,Match for third place,Parc des Princes,Paris ,45500,Netherlands,1,2,Croatia, ,1,2,NED,CRO
1998,France,Semi-finals,Stade Vlodrome,Marseilles ,54000,Brazil,1,1,Netherlands,HWP,0,0,BRA,NED
1998,France,Group C,Stade V�lodrome,Marseilles ,55000,France,3,0,South Africa, ,1,0,FRA,RSA
1998,France,Group G,Stade V�lodrome,Marseilles ,55000,England,2,0,Tunisia, ,1,0,ENG,TUN
1998,France,Group E,Stade Vlodrome,Marseilles ,55000,Netherlands,5,0,Korea Republic, ,2,0,NED,KOR
1998,France,Group A,Stade Vlodrome,Marseilles ,55000,Brazil,1,2,Norway, ,0,0,BRA,NOR
1998,France,Round of 16,Stade Vlodrome,Marseilles ,55000,Italy,1,0,Norway, ,1,0,ITA,NOR
1998,France,Quarter-finals,Stade Vlodrome,Marseilles ,55000,Netherlands,2,1,Argentina, ,1,1,NED,ARG
1998,France,Semi-finals,Stade de France,Saint-Denis ,76000,France,2,1,Croatia, ,0,0,FRA,CRO
1998,France,Group E,Stade de France,Saint-Denis ,77000,Netherlands,0,0,Belgium, ,0,0,NED,BEL
1998,France,Group G,Stade de France,Saint-Denis ,77000,Romania,1,1,Tunisia, ,0,1,ROU,TUN
1998,France,Round of 16,Stade de France,Saint-Denis ,77000,Nigeria,1,4,Denmark, ,0,2,NGA,DEN
1998,France,Quarter-finals,Stade de France,Saint-Denis ,77000,Italy,0,0,France,AWP,0,0,ITA,FRA
1998,France,Group A,Stade de France,Saint-Denis ,80000,Brazil,2,1,Scotland, ,1,1,BRA,SCO
1998,France,Group C,Stade de France,Saint-Denis ,80000,France,4,0,Saudi Arabia, ,1,0,FRA,KSA
1998,France,Group B,Stade de France,Saint-Denis ,80000,Italy,2,1,Austria, ,0,0,ITA,AUT
1998,France,Final,Stade de France,Saint-Denis ,80000,Brazil,0,3,France, ,0,2,BRA,FRA
2002,South Korea/Japan,Group B,Jeonju World Cup Stadium,Jeonju ,24000,Spain,3,1,Paraguay, ,0,1,ESP,PAR
2002,South Korea/Japan,Round of 16,Jeju World Cup Stadium,Jeju ,25176,Germany,1,0,Paraguay, ,0,0,GER,PAR
2002,South Korea/Japan,Group B,Busan Asiad Main Stadium,Busan ,25186,Paraguay,2,2,South Africa, ,1,0,PAR,RSA
2002,South Korea/Japan,Group D,Daejeon World Cup Stadium,Daejeon ,26482,Poland,3,1,USA, ,2,0,POL,USA
2002,South Korea/Japan,Group C,Gwangju World Cup Stadium,Gwangju ,27217,China PR,0,2,Costa Rica, ,0,0,CHN,CRC
2002,South Korea/Japan,Group B,Gwangju World Cup Stadium,Gwangju ,28598,Spain,3,1,Slovenia, ,1,0,ESP,SVN
2002,South Korea/Japan,Group A,Munsu Football Stadium,Ulsan ,30157,Uruguay,1,2,Denmark, ,0,1,URU,DEN
2002,South Korea/Japan,Group B,Jeju World Cup Stadium,Jeju ,30176,Slovenia,1,3,Paraguay, ,1,0,SVN,PAR
2002,South Korea/Japan,Group H,Kobe Wing Stadium,Kobe ,30957,Russia,2,0,Tunisia, ,0,0,RUS,TUN
2002,South Korea/Japan,Group D,Jeonju World Cup Stadium,Jeonju ,31000,Portugal,4,0,Poland, ,1,0,POR,POL
2002,South Korea/Japan,Group B,Daejeon World Cup Stadium,Daejeon ,31024,South Africa,2,3,Spain, ,1,2,RSA,ESP
2002,South Korea/Japan,Group G,Sapporo Dome,Sapporo ,31081,Italy,2,0,Ecuador, ,2,0,ITA,ECU
2002,South Korea/Japan,Group E,Sapporo Dome,Sapporo ,32218,Germany,8,0,Saudi Arabia, ,4,0,GER,KSA
2002,South Korea/Japan,Group G,Niigata Stadium Big Swan,Niigata ,32239,Croatia,0,1,Mexico, ,0,0,CRO,MEX
2002,South Korea/Japan,Group E,Niigata Stadium Big Swan,Niigata ,33679,Republic of Ireland,1,1,Cameroon, ,0,1,IRL,CMR
2002,South Korea/Japan,Group A,Suwon World Cup Stadium,Suwon ,33681,Senegal,3,3,Uruguay, ,3,0,SEN,URU
2002,South Korea/Japan,Group C,Munsu Football Stadium,Ulsan ,33842,Brazil,2,1,Turkey, ,0,1,BRA,TUR
2002,South Korea/Japan,Group F,Kashima Stadium,Ibaraki ,34050,Argentina,1,0,Nigeria, ,0,0,ARG,NGA
2002,South Korea/Japan,Group E,Kashima Stadium,Ibaraki ,35854,Germany,1,1,Republic of Ireland, ,1,0,GER,IRL
2002,South Korea/Japan,Group F,Sapporo Dome,Sapporo ,35927,Argentina,0,1,England, ,0,1,ARG,ENG
2002,South Korea/Japan,Group F,Kobe Wing Stadium,Kobe ,36194,Sweden,2,1,Nigeria, ,1,1,SWE,NGA
2002,South Korea/Japan,Round of 16,Jeonju World Cup Stadium,Jeonju ,36380,Mexico,0,2,USA, ,0,1,MEX,USA
2002,South Korea/Japan,Group G,Kashima Stadium,Ibaraki ,36472,Italy,1,2,Croatia, ,0,0,ITA,CRO
2002,South Korea/Japan,Group C,Jeju World Cup Stadium,Jeju ,36750,Brazil,4,0,China PR, ,3,0,BRA,CHN
2002,South Korea/Japan,Group D,Suwon World Cup Stadium,Suwon ,37306,USA,3,2,Portugal, ,3,1,USA,POR
2002,South Korea/Japan,Quarter-finals,Munsu Football Stadium,Ulsan ,37337,Germany,1,0,USA, ,1,0,GER,USA
2002,South Korea/Japan,Group A,Busan Asiad Main Stadium,Busan ,38289,France,0,0,Uruguay, ,0,0,FRA,URU
2002,South Korea/Japan,Group C,Suwon World Cup Stadium,Suwon ,38524,Costa Rica,2,5,Brazil, ,1,3,CRC,BRA
2002,South Korea/Japan,Round of 16,Daejeon World Cup Stadium,Daejeon ,38588,Korea Republic,2,1,Italy,ET,0,0,KOR,ITA
2002,South Korea/Japan,Round of 16,Suwon World Cup Stadium,Suwon ,38926,Spain,1,1,Republic of Ireland,HWP,0,0,ESP,IRL
2002,South Korea/Japan,Group G,Oita Stadium Big Eye,Oita ,39291,Mexico,1,1,Italy, ,1,0,MEX,ITA
2002,South Korea/Japan,Group H,Oita Stadium Big Eye,Oita ,39700,Tunisia,1,1,Belgium, ,1,1,TUN,BEL
2002,South Korea/Japan,Round of 16,Oita Stadium Big Eye,Oita ,39747,Sweden,1,2,Senegal,ET,0,0,SWE,SEN
2002,South Korea/Japan,Round of 16,Kobe Wing Stadium,Kobe ,40440,Brazil,2,0,Belgium, ,0,0,BRA,BEL
2002,South Korea/Japan,Round of 16,Niigata Stadium Big Swan,Niigata ,40582,Denmark,0,3,England, ,0,3,DEN,ENG
2002,South Korea/Japan,Quarter-finals,Gwangju World Cup Stadium,Gwangju ,42114,Spain,0,0,Korea Republic,AWP,0,0,ESP,KOR
2002,South Korea/Japan,Group C,Incheon Football Stadium,Incheon ,42299,Costa Rica,1,1,Turkey, ,0,0,CRC,TUR
2002,South Korea/Japan,Group A,Daegu World Cup Stadium,Daegu ,43500,Denmark,1,1,Senegal, ,1,0,DEN,SEN
2002,South Korea/Japan,Group C,Seoul World Cup Stadium,Seoul ,43605,Turkey,3,0,China PR, ,2,0,TUR,CHN
2002,South Korea/Japan,Quarter-finals,Osaka Nagai Stadium,Osaka ,44233,Senegal,0,1,Turkey,ET,0,0,SEN,TUR
2002,South Korea/Japan,Group F,Osaka Nagai Stadium,Osaka ,44864,Nigeria,0,0,England, ,0,0,NGA,ENG
2002,South Korea/Japan,Group H,Osaka Nagai Stadium,Osaka ,45213,Tunisia,0,2,Japan, ,0,0,TUN,JPN
2002,South Korea/Japan,Group G,Miyagi Stadium,Rifu ,45610,Mexico,2,1,Ecuador, ,1,1,MEX,ECU
2002,South Korea/Japan,Round of 16,Miyagi Stadium,Rifu ,45666,Japan,0,1,Turkey, ,0,1,JPN,TUR
2002,South Korea/Japan,Group F,Miyagi Stadium,Rifu ,45777,Sweden,1,1,Argentina, ,0,0,SWE,ARG
2002,South Korea/Japan,Group H,Shizuoka Stadium Ecopa,Shizuoka ,46640,Belgium,3,2,Russia, ,1,0,BEL,RUS
2002,South Korea/Japan,Group E,Shizuoka Stadium Ecopa,Shizuoka ,47085,Cameroon,0,2,Germany, ,0,0,CMR,GER
2002,South Korea/Japan,Group B,Daegu World Cup Stadium,Daegu ,47226,South Africa,1,0,Slovenia, ,1,0,RSA,SVN
2002,South Korea/Japan,Quarter-finals,Shizuoka Stadium Ecopa,Shizuoka ,47436,England,1,2,Brazil, ,1,1,ENG,BRA
2002,South Korea/Japan,Group A,Incheon Football Stadium,Incheon ,48100,Denmark,2,0,France, ,1,0,DEN,FRA
2002,South Korea/Japan,Group D,Busan Asiad Main Stadium,Busan ,48760,Korea Republic,2,0,Poland, ,1,0,KOR,POL
2002,South Korea/Japan,Group D,Incheon Football Stadium,Incheon ,50239,Portugal,0,1,Korea Republic, ,0,0,POR,KOR
2002,South Korea/Japan,Group E,Saitama Stadium 2002,Saitama ,52328,Cameroon,1,0,Saudi Arabia, ,0,0,CMR,KSA
2002,South Korea/Japan,Group F,Saitama Stadium 2002,Saitama ,52721,England,1,1,Sweden, ,1,0,ENG,SWE
2002,South Korea/Japan,Group H,Saitama Stadium 2002,Saitama ,55256,Japan,2,2,Belgium, ,0,0,JPN,BEL
2002,South Korea/Japan,Group D,Daegu World Cup Stadium,Daegu ,60778,Korea Republic,1,1,USA, ,0,1,KOR,USA
2002,South Korea/Japan,Semi-finals,Saitama Stadium 2002,Saitama ,61058,Brazil,1,0,Turkey, ,0,0,BRA,TUR
2002,South Korea/Japan,Group A,Seoul World Cup Stadium,Seoul ,62561,France,0,1,Senegal, ,0,1,FRA,SEN
2002,South Korea/Japan,Third place,Daegu World Cup Stadium,Daegu ,63483,Korea Republic,2,3,Turkey, ,1,3,KOR,TUR
2002,South Korea/Japan,Semi-finals,Seoul World Cup Stadium,Seoul ,65256,Germany,1,0,Korea Republic, ,0,0,GER,KOR
2002,South Korea/Japan,Group E,International Stadium Yokohama,Yokohama ,65320,Saudi Arabia,0,3,Republic of Ireland, ,0,1,KSA,IRL
2002,South Korea/Japan,Group G,International Stadium Yokohama,Yokohama ,65862,Ecuador,1,0,Croatia, ,0,0,ECU,CRO
2002,South Korea/Japan,Group H,International Stadium Yokohama,Yokohama ,66108,Japan,1,0,Russia, ,0,0,JPN,RUS
2002,South Korea/Japan,Final,International Stadium Yokohama,Yokohama ,69029,Germany,0,2,Brazil, ,0,0,GER,BRA
2006,Germany,Group D,Zentralstadion,Leipzig ,38000,Iran,1,1,Angola, ,0,0,IRN,ANG
2006,Germany,Group D,Franken-Stadion,Nuremberg ,41000,Mexico,3,1,Iran, ,1,1,MEX,IRN
2006,Germany,Group B,Franken-Stadion,Nuremberg ,41000,England,2,0,Trinidad and Tobago, ,0,0,ENG,TRI
2006,Germany,Group F,Franken-Stadion,Nuremberg ,41000,Japan,0,0,Croatia, ,0,0,JPN,CRO
2006,Germany,Group E,Franken-Stadion,Nuremberg ,41000,Ghana,2,1,USA, ,2,1,GHA,USA
2006,Germany,Round of 16,Franken-Stadion,Nuremberg ,41000,Portugal,1,0,Netherlands, ,1,0,POR,NED
2006,Germany,Group C,Zentralstadion,Leipzig ,43000,Serbia and Montenegro,0,1,Netherlands, ,0,1,SCG,NED
2006,Germany,Group E,FIFA World Cup Stadium Hanover,Hanover ,43000,Italy,2,0,Ghana, ,1,0,ITA,GHA
2006,Germany,Group H,Zentralstadion,Leipzig ,43000,Spain,4,0,Ukraine, ,2,0,ESP,UKR
2006,Germany,Group D,FIFA World Cup Stadium Hanover,Hanover ,43000,Mexico,0,0,Angola, ,0,0,MEX,ANG
2006,Germany,Group G,Zentralstadion,Leipzig ,43000,France,1,1,Korea Republic, ,1,0,FRA,KOR
2006,Germany,Group A,FIFA World Cup Stadium Hanover,Hanover ,43000,Costa Rica,1,2,Poland, ,1,1,CRC,POL
2006,Germany,Group G,FIFA World Cup Stadium Hanover,Hanover ,43000,Switzerland,2,0,Korea Republic, ,1,0,SUI,KOR
2006,Germany,Round of 16,Zentralstadion,Leipzig ,43000,Argentina,2,1,Mexico,ET,0,0,ARG,MEX
2006,Germany,Round of 16,FIFA World Cup Stadium Hanover,Hanover ,43000,Spain,1,3,France, ,1,1,ESP,FRA
2006,Germany,Group D,FIFA World Cup Stadium Cologne,Cologne ,45000,Angola,0,1,Portugal, ,0,1,ANG,POR
2006,Germany,Group E,FIFA World Cup Stadium Cologne,Cologne ,45000,Czech Republic,0,2,Ghana, ,0,1,CZE,GHA
2006,Germany,Group B,FIFA World Cup Stadium Cologne,Cologne ,45000,Sweden,2,2,England, ,0,1,SWE,ENG
2006,Germany,Group G,FIFA World Cup Stadium Cologne,Cologne ,45000,Togo,0,2,France, ,0,0,TOG,FRA
2006,Germany,Round of 16,FIFA World Cup Stadium Cologne,Cologne ,45000,Switzerland,0,0,Ukraine,AWP,0,0,SUI,UKR
2006,Germany,Group F,Fritz-Walter-Stadion,Kaiserslautern ,46000,Australia,3,1,Japan, ,0,1,AUS,JPN
2006,Germany,Group E,Fritz-Walter-Stadion,Kaiserslautern ,46000,Italy,1,1,USA, ,1,1,ITA,USA
2006,Germany,Group B,Fritz-Walter-Stadion,Kaiserslautern ,46000,Paraguay,2,0,Trinidad and Tobago, ,1,0,PAR,TRI
2006,Germany,Group H,Fritz-Walter-Stadion,Kaiserslautern ,46000,Saudi Arabia,0,1,Spain, ,0,1,KSA,ESP
2006,Germany,Round of 16,Fritz-Walter-Stadion,Kaiserslautern ,46000,Italy,1,0,Australia, ,0,0,ITA,AUS
2006,Germany,Group B,FIFA World Cup Stadium Frankfurt,Frankfurt/Main ,48000,England,1,0,Paraguay, ,1,0,ENG,PAR
2006,Germany,Group G,FIFA World Cup Stadium Frankfurt,Frankfurt/Main ,48000,Korea Republic,2,1,Togo, ,0,1,KOR,TOG
2006,Germany,Group D,FIFA World Cup Stadium Frankfurt,Frankfurt/Main ,48000,Portugal,2,0,IR Iran, ,0,0,POR,IRN
2006,Germany,Group C,FIFA World Cup Stadium Frankfurt,Frankfurt/Main ,48000,Netherlands,0,0,Argentina, ,0,0,NED,ARG
2006,Germany,Quarter-finals,FIFA World Cup Stadium Frankfurt,Frankfurt/Main ,48000,Brazil,0,1,France, ,0,0,BRA,FRA
2006,Germany,Group C,FIFA World Cup Stadium Hamburg,Hamburg ,49480,Argentina,2,1,Ivory Coast, ,2,0,ARG,CIV
2006,Germany,Group A,FIFA World Cup Stadium Hamburg,Hamburg ,50000,Ecuador,3,0,Costa Rica, ,1,0,ECU,CRC
2006,Germany,Group H,FIFA World Cup Stadium Hamburg,Hamburg ,50000,Saudi Arabia,0,4,Ukraine, ,0,2,KSA,UKR
2006,Germany,Group E,FIFA World Cup Stadium Hamburg,Hamburg ,50000,Czech Republic,0,2,Italy, ,0,1,CZE,ITA
2006,Germany,Quarter-finals,FIFA World Cup Stadium Hamburg,Hamburg ,50000,Italy,3,0,Ukraine, ,1,0,ITA,UKR
2006,Germany,Group A,FIFA World Cup Stadium Gelsenkirchen,Gelsenkirchen ,52000,Poland,0,2,Ecuador, ,0,1,POL,ECU
2006,Germany,Group E,FIFA World Cup Stadium Gelsenkirchen,Gelsenkirchen ,52000,USA,0,3,Czech Republic, ,0,2,USA,CZE
2006,Germany,Group G,Gottlieb-Daimler-Stadion,Stuttgart ,52000,France,0,0,Switzerland, ,0,0,FRA,SUI
2006,Germany,Group C,FIFA World Cup Stadium Gelsenkirchen,Gelsenkirchen ,52000,Argentina,6,0,Serbia and Montenegro, ,3,0,ARG,SCG
2006,Germany,Group C,Gottlieb-Daimler-Stadion,Stuttgart ,52000,Netherlands,2,1,Ivory Coast, ,2,1,NED,CIV
2006,Germany,Group H,Gottlieb-Daimler-Stadion,Stuttgart ,52000,Spain,3,1,Tunisia, ,0,1,ESP,TUN
2006,Germany,Group D,FIFA World Cup Stadium Gelsenkirchen,Gelsenkirchen ,52000,Portugal,2,1,Mexico, ,2,1,POR,MEX
2006,Germany,Group F,Gottlieb-Daimler-Stadion,Stuttgart ,52000,Croatia,2,2,Australia, ,1,1,CRO,AUS
2006,Germany,Round of 16,Gottlieb-Daimler-Stadion,Stuttgart ,52000,England,1,0,Ecuador, ,0,0,ENG,ECU
2006,Germany,Quarter-finals,FIFA World Cup Stadium Gelsenkirchen,Gelsenkirchen ,52000,England,0,0,Portugal,AWP,0,0,ENG,POR
2006,Germany,Third place,Gottlieb-Daimler-Stadion,Stuttgart ,52000,Germany,3,1,Portugal, ,0,0,GER,POR
2006,Germany,Group B,FIFA World Cup Stadium Dortmund,Dortmund ,62959,Trinidad and Tobago,0,0,Sweden, ,0,0,TRI,SWE
2006,Germany,Group A,FIFA World Cup Stadium Dortmund,Dortmund ,65000,Germany,1,0,Poland, ,0,0,GER,POL
2006,Germany,Group G,FIFA World Cup Stadium Dortmund,Dortmund ,65000,Togo,0,2,Switzerland, ,0,1,TOG,SUI
2006,Germany,Group F,FIFA World Cup Stadium Dortmund,Dortmund ,65000,Japan,1,4,Brazil, ,1,1,JPN,BRA
2006,Germany,Round of 16,FIFA World Cup Stadium Dortmund,Dortmund ,65000,Brazil,3,0,Ghana, ,2,0,BRA,GHA
2006,Germany,Semi-finals,FIFA World Cup Stadium Dortmund,Dortmund ,65000,Germany,0,2,Italy,ET,0,0,GER,ITA
2006,Germany,Group A,FIFA World Cup Stadium Munich,Munich ,66000,Germany,4,2,Costa Rica, ,2,1,GER,CRC
2006,Germany,Group H,FIFA World Cup Stadium Munich,Munich ,66000,Tunisia,2,2,Saudi Arabia, ,1,0,TUN,KSA
2006,Germany,Group F,FIFA World Cup Stadium Munich,Munich ,66000,Brazil,2,0,Australia, ,0,0,BRA,AUS
2006,Germany,Group C,FIFA World Cup Stadium Munich,Munich ,66000,Ivory Coast,3,2,Serbia and Montenegro, ,1,2,CIV,SCG
2006,Germany,Round of 16,FIFA World Cup Stadium Munich,Munich ,66000,Germany,2,0,Sweden, ,2,0,GER,SWE
2006,Germany,Semi-finals,FIFA World Cup Stadium Munich,Munich ,66000,Portugal,0,1,France, ,0,1,POR,FRA
2006,Germany,Final,Olympiastadion,Berlin ,69000,Italy,1,1,France,HWP,0,0,ITA,FRA
2006,Germany,Group F,Olympiastadion,Berlin ,72000,Brazil,1,0,Croatia, ,1,0,BRA,CRO
2006,Germany,Group B,Olympiastadion,Berlin ,72000,Sweden,1,0,Paraguay, ,0,0,SWE,PAR
2006,Germany,Group A,Olympiastadion,Berlin ,72000,Ecuador,0,3,Germany, ,0,2,ECU,GER
2006,Germany,Group H,Olympiastadion,Berlin ,72000,Ukraine,1,0,Tunisia, ,0,0,UKR,TUN
2006,Germany,Quarter-finals,Olympiastadion,Berlin ,72000,Germany,1,1,Argentina,HWP,0,0,GER,ARG
2010,South Africa,Group F,Royal Bafokeng Sports Palace,Phokeng ,23871,New Zealand,1,1,Slovakia, ,0,0,NZL,SVK
2010,South Africa,Group F,Free State Stadium,Mangaung/Bloemfontein ,26643,Slovakia,0,2,Paraguay, ,0,1,SVK,PAR
2010,South Africa,Group E,Royal Bafokeng Sports Palace,Phokeng ,27967,Denmark,1,3,Japan, ,0,2,DEN,JPN
2010,South Africa,Group H,Free State Stadium,Mangaung/Bloemfontein ,28042,Switzerland,0,0,Honduras, ,0,0,SUI,HON
2010,South Africa,Group C,Peter Mokaba Stadium,Polokwane ,30325,Algeria,0,1,Slovenia, ,0,0,ALG,SVN
2010,South Africa,Round of 16,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,30597,Uruguay,2,1,Korea Republic, ,1,0,URU,KOR
2010,South Africa,Group E,Free State Stadium,Mangaung/Bloemfontein ,30620,Japan,1,0,Cameroon, ,1,0,JPN,CMR
2010,South Africa,Group B,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,31513,Korea Republic,2,0,Greece, ,1,0,KOR,GRE
2010,South Africa,Group B,Free State Stadium,Mangaung/Bloemfontein ,31593,Greece,2,1,Nigeria, ,1,1,GRE,NGA
2010,South Africa,Group H,Mbombela Stadium,Nelspruit ,32664,Honduras,0,1,Chile, ,0,1,HON,CHI
2010,South Africa,Group A,Royal Bafokeng Sports Palace,Phokeng ,33425,Mexico,0,1,Uruguay, ,0,1,MEX,URU
2010,South Africa,Group G,Mbombela Stadium,Nelspruit ,34763,Korea DPR,0,3,Ivory Coast, ,0,2,PRK,CIV
2010,South Africa,Group D,Royal Bafokeng Sports Palace,Phokeng ,34812,Ghana,1,1,Australia, ,1,1,GHA,AUS
2010,South Africa,Group F,Peter Mokaba Stadium,Polokwane ,34850,Paraguay,0,0,New Zealand, ,0,0,PAR,NZL
2010,South Africa,Group H,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,34872,Chile,1,0,Switzerland, ,0,0,CHI,SUI
2010,South Africa,Round of 16,Royal Bafokeng Sports Palace,Phokeng ,34976,USA,1,2,Ghana,ET,0,0,USA,GHA
2010,South Africa,Group A,Peter Mokaba Stadium,Polokwane ,35370,France,0,2,Mexico, ,0,0,FRA,MEX
2010,South Africa,Group C,Loftus Versfeld Stadium,Tshwane/Pretoria ,35827,USA,1,0,Algeria, ,0,0,USA,ALG
2010,South Africa,Match for third place,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,36254,Uruguay,2,3,Germany, ,1,1,URU,GER
2010,South Africa,Round of 16,Loftus Versfeld Stadium,Tshwane/Pretoria ,36742,Paraguay,0,0,Japan,HWP,0,0,PAR,JPN
2010,South Africa,Group C,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,36893,Slovenia,0,1,England, ,0,1,SVN,ENG
2010,South Africa,Group G,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,37034,Ivory Coast,0,0,Portugal, ,0,0,CIV,POR
2010,South Africa,Group D,Mbombela Stadium,Nelspruit ,37836,Australia,2,1,Serbia, ,0,0,AUS,SRB
2010,South Africa,Group E,Loftus Versfeld Stadium,Tshwane/Pretoria ,38074,Cameroon,1,2,Denmark, ,1,1,CMR,DEN
2010,South Africa,Group F,Mbombela Stadium,Nelspruit ,38229,Italy,1,1,New Zealand, ,1,1,ITA,NZL
2010,South Africa,Group D,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,38294,Germany,0,1,Serbia, ,0,1,GER,SRB
2010,South Africa,Group C,Royal Bafokeng Sports Palace,Phokeng ,38646,England,1,1,USA, ,1,1,ENG,USA
2010,South Africa,Group D,Loftus Versfeld Stadium,Tshwane/Pretoria ,38833,Serbia,0,1,Ghana, ,0,0,SRB,GHA
2010,South Africa,Group B,Peter Mokaba Stadium,Polokwane ,38891,Greece,0,2,Argentina, ,0,0,GRE,ARG
